,0,1
795,ECL,WMB
796,EIX,ETR
797,EIX,EFX
798,EIX,GS
799,EIX,KMI
800,EIX,LH
801,EIX,LDOS
802,EIX,MTD
803,EIX,TAP
804,EIX,MCO
805,EIX,MSCI
806,EIX,NUE
807,EIX,PH
808,EIX,PRU
809,EIX,RMD
810,EIX,SYY
811,EIX,TMO
812,EIX,UHS
813,EIX,V
814,EIX,WMB
815,ELV,EL
816,ELV,KMI
817,ELV,MRO
818,ELV,MAS
819,ELV,PHM
820,ELV,TRGP
821,ELV,TEL
822,ELV,TMO
823,ELV,WMB
824,LLY,EL
825,LLY,F
826,LLY,GM
827,LLY,HD
828,LLY,NKE
829,LLY,PNR
830,LLY,PPG
831,LLY,SHW
832,EMR,HD
833,EMR,LEN
834,ETR,IRM
835,ETR,KMI
836,ETR,LH
837,ETR,LDOS
838,ETR,MMC
839,ETR,TAP
840,ETR,TMO
841,ETR,WMB
842,EOG,FRC
843,EOG,HD
844,EOG,LEN
845,EOG,MAS
846,EOG,PAYC
847,EOG,TMO
848,EOG,TYL
849,EPAM,J
850,EPAM,JNJ
851,EPAM,PFE
852,EPAM,RSG
853,EQT,HD
854,EQT,LH
855,EQT,LOW
856,EQT,NVR
857,EQT,PNR
858,EQT,PHM
859,EFX,FE
860,EFX,HUM
861,EFX,LH
862,EFX,MCO
863,EFX,NI
864,EFX,NSC
865,EFX,PKI
866,EFX,PEG
867,EFX,DGX
868,EFX,ROL
869,EFX,SPGI
870,EFX,SRE
871,EFX,TMO
872,EFX,USB
873,EFX,UPS
874,EFX,WMB
875,EL,GS
876,EL,HUM
877,EL,LH
878,EL,LIN
879,EL,MRO
880,EL,MA
881,EL,TAP
882,EL,PAYC
883,EL,PFE
884,EL,PM
885,EL,PXD
886,EL,DGX
887,EL,ROL
888,EL,TMO
889,EL,UPS
890,EL,V
891,EL,WMB
892,RE,MET
893,EVRG,TAP
894,EVRG,DGX
895,EVRG,TMO
896,EVRG,UHS
897,ES,GS
898,ES,LH
899,ES,LDOS
900,ES,TAP
901,ES,PNW
902,ES,DGX
903,ES,O
904,ES,SPG
905,ES,SYY
906,ES,TMO
907,ES,UHS
908,ES,WAT
909,XOM,HES
910,XOM,MAS
911,XOM,TMO
912,XOM,TYL
913,XOM,ZTS
914,FDS,FE
915,FDS,PAYC
916,FDS,RCL
917,FDS,SHW
918,FRT,HUM
919,FRT,KIM
920,FRT,LH
921,FRT,PPL
922,FRT,PRU
923,FRT,ROP
924,FRT,SHW
925,FRT,TMO
926,FRT,WMB
927,FDX,DGX
928,FE,GS
929,FE,HD
930,FE,LEN
931,FE,MLM
932,FE,MSCI
933,FE,OKE
934,FE,ORCL
935,FE,PAYC
936,FE,ROP
937,FE,TPR
938,FE,TXT
939,FE,UHS
940,FE,V
941,FLT,LH
942,F,GM
943,F,HUM
944,F,TAP
945,F,TEL
946,F,TMO
947,FTV,GS
948,FTV,TAP
949,FTV,RF
950,BEN,HD
951,BEN,PHM
952,BEN,DGX
953,BEN,TPR
954,BEN,TMO
955,FCX,GS
956,FCX,HD
957,FCX,RF
958,GRMN,LH
959,GD,MAS
960,GD,PAYC
961,GE,HD
962,GE,JPM
963,GE,LEN
964,GE,LOW
965,GE,SPG
966,GM,HUM
967,GM,KMI
968,GM,MTB
969,GM,TAP
970,GM,NCLH
971,GM,OXY
972,GM,PM
973,GM,PXD
974,GM,PNC
975,GM,PRU
976,GM,RF
977,GM,SRE
978,GM,SYF
979,GM,TRGP
980,GM,UNH
981,GM,WMB
982,GS,IR
983,GS,IVZ
984,GS,JCI
985,GS,LVS
986,GS,LEN
987,GS,MET
988,GS,NI
989,GS,OKE
990,GS,PM
991,GS,PNW
992,GS,PEG
993,GS,RF
994,GS,TPR
995,GS,TMO
996,GS,TT
997,GS,WMB
998,GS,ZBH
999,HAL,LEN
1000,HAL,PAYC
1001,HIG,DGX
1002,HCA,SYK
1003,HCA,VMC
1004,PEAK,LH
1005,HSY,MAS
1006,HSY,PNC
1007,HSY,NOW
1008,HSY,TMO
1009,HSY,WHR
1010,HSY,ZTS
1011,HES,MAS
1012,HES,MHK
1013,HES,TMO
1014,HES,WHR
1015,HPE,HD
1016,HPE,IPG
1017,HPE,MTD
1018,HLT,PRU
1019,HD,HUM
1020,HD,ITW
1021,HD,IR
1022,HD,IPG
1023,HD,JCI
1024,HD,JPM
1025,HD,JNPR
1026,HD,KEY
1027,HD,KMI
1028,HD,LVS
1029,HD,LEN
1030,HD,LYB
1031,HD,MTB
1032,HD,MRO
1033,HD,MA
1034,HD,MTD
1035,HD,MS
1036,HD,NI
1037,HD,NVR
1038,HD,OMC
1039,HD,OKE
1040,HD,ORCL
1041,HD,OTIS
1042,HD,PH
1043,HD,PAYC
1044,HD,PM
1045,HD,PXD
1046,HD,PPG
1047,HD,PEG
1048,HD,PHM
1049,HD,DGX
1050,HD,RTX
1051,HD,RF
1052,HD,RSG
1053,HD,ROL
1054,HD,SRE
1055,HD,SPG
1056,HD,STT
1057,HD,TPR
1058,HD,TRGP
1059,HD,TMO
1060,HD,TDG
1061,HD,WFC
1062,HD,WMB
1063,HRL,TMO
1064,HWM,PNW
1065,HWM,DGX
1066,HWM,WAB
1067,HUM,LEN
1068,HUM,LOW
1069,HUM,MLM
1070,HUM,NKE
1071,HUM,NSC
1072,HUM,NVR
1073,HUM,OXY
1074,HUM,PNR
1075,HUM,PPG
1076,HUM,PHM
1077,HUM,SHW
1078,HUM,SNA
1079,HUM,SYF
1080,HUM,TEL
1081,HUM,TXT
1082,HII,MAS
1083,HII,PNR
1084,HII,PHM
1085,IBM,LHX
1086,IEX,ROL
1087,IEX,UNH
1088,ITW,LEN
1089,ITW,NI
1090,ITW,PH
1091,ITW,TPR
1092,IR,LEN
1093,IR,RF
1094,IR,TPR
1095,IP,DGX
1096,IFF,DGX
1097,IVZ,NKE
1098,IVZ,NSC
1099,IVZ,PG
1100,IVZ,TMO
1101,IQV,LH
1102,IQV,NI
1103,IQV,PEG
1104,IQV,SRE
1105,IQV,TMO
1106,IQV,V
1107,IRM,KMI
1108,IRM,LDOS
1109,IRM,LEN
1110,IRM,LMT
1111,IRM,MAS
1112,IRM,NUE
1113,IRM,NVR
1114,IRM,PAYC
1115,IRM,PHM
1116,IRM,RMD
1117,IRM,SRE
1118,IRM,TRGP
1119,IRM,WMB
1120,J,WMB
1121,JNJ,KMB
1122,JNJ,PAYC
1123,JNJ,WMB
1124,JCI,LEN
1125,JCI,PEG
1126,JCI,RF
1127,JCI,TPR
1128,JCI,TXT
1129,JCI,VMC
1130,JPM,NVR
1131,JPM,OGN
1132,JPM,PHM
1133,JPM,RL
1134,JPM,TPR
1135,K,PNR
1136,KEYS,TAP
1137,KMB,DGX
1138,KMB,SYY
1139,KMB,WAT
1140,KIM,ROP
1141,KMI,LEN
1142,KMI,LIN
1143,KMI,MMC
1144,KMI,NUE
1145,KMI,PAYC
1146,KMI,PPL
1147,KMI,PHM
1148,KMI,DGX
1149,KMI,TMO
1150,KMI,WFC
1151,KR,LHX
1152,KR,LEN
1153,KR,PAYC
1154,LHX,MOS
1155,LHX,PPL
1156,LH,MAS
1157,LH,MA
1158,LH,MAA
1159,LH,MCO
1160,LH,NKE
1161,LH,NI
1162,LH,NSC
1163,LH,PKG
1164,LH,PNR
1165,LH,PKI
1166,LH,PPL
1167,LH,PLD
1168,LH,PEG
1169,LH,PHM
1170,LH,SPGI
1171,LH,SRE
1172,LH,NOW
1173,LH,SHW
1174,LH,SO
1175,LH,LUV
1176,LH,TEL
1177,LH,TMO
1178,LH,USB
1179,LH,UNP
1180,LH,V
1181,LH,WEC
1182,LH,WRK
1183,LH,WHR
1184,LVS,LEN
1185,LVS,RF
1186,LVS,TPR
1187,LVS,TT
1188,LVS,YUM
1189,LDOS,PPL
1190,LDOS,WMB
1191,LEN,MTB
1192,LEN,MTD
1193,LEN,MS
1194,LEN,MOS
1195,LEN,NI
1196,LEN,OKE
1197,LEN,PH
1198,LEN,PAYC
1199,LEN,PXD
1200,LEN,DGX
1201,LEN,RF
1202,LEN,ROK
1203,LEN,STT
1204,LEN,SYY
1205,LEN,TRGP
1206,LEN,TDG
1207,LEN,WMB
1208,LEN,YUM
1209,LIN,PM
1210,LIN,DGX
1211,LIN,TRGP
1212,LIN,WMB
1213,LOW,MS
1214,LOW,MOS
1215,LOW,PXD
1216,LOW,RF
1217,LOW,ROK
1218,LOW,STT
1219,LOW,TRGP
1220,LYB,SHW
1221,MTB,PAYC
1222,MTB,PHM
1223,MTB,O
1224,MTB,TMO
1225,MRO,MAS
1226,MRO,PHM
1227,MRO,TMO
1228,MRO,TYL
1229,MMC,NUE
1230,MMC,PPL
1231,MMC,TRGP
1232,MMC,WMB
1233,MLM,MGM
1234,MLM,NSC
1235,MLM,PRU
1236,MLM,RF
1237,MLM,ROK
1238,MLM,SRE
1239,MLM,TRGP
1240,MLM,TDG
1241,MLM,WMB
1242,MAS,MCK
1243,MAS,PXD
1244,MAS,PGR
1245,MAS,ROL
1246,MAS,UNH
1247,MA,NKE
1248,MA,PFE
1249,MA,PM
1250,MA,PG
1251,MA,DGX
1252,MA,SHW
1253,MCD,PG
1254,MCK,WHR
1255,MET,YUM
1256,MTD,ORCL
1257,MTD,PH
1258,MTD,PEG
1259,MTD,TPR
1260,MTD,TXT
1261,MTD,WMB
1262,MGM,PRU
1263,MGM,WFC
1264,MHK,UNH
1265,TAP,PPL
1266,TAP,O
1267,TAP,RF
1268,TAP,RSG
1269,TAP,ROK
1270,TAP,SRE
1271,TAP,SO
1272,TAP,SYY
1273,TAP,TEL
1274,TAP,TT
1275,TAP,VICI
1276,TAP,WAT
1277,TAP,WEC
1278,MCO,NI
1279,MCO,NSC
1280,MCO,PEG
1281,MCO,ROL
1282,MCO,SRE
1283,MCO,SO
1284,MCO,TMO
1285,MCO,V
1286,MS,MSCI
1287,MS,RF
1288,MS,TPR
1289,MOS,NVR
1290,MOS,PHM
1291,MOS,RMD
1292,MSCI,PEG
1293,MSCI,RF
1294,MSCI,ROK
1295,MSCI,SRE
1296,MSCI,TPR
1297,MSCI,TDG
1298,MSCI,ZBH
1299,NEE,PAYC
1300,NKE,OXY
1301,NKE,PKI
1302,NKE,PFE
1303,NKE,PG
1304,NKE,ROL
1305,NKE,TMO
1306,NKE,V
1307,NI,DGX
1308,NI,SHW
1309,NI,SPG
1310,NI,TMO
1311,NI,UHS
1312,NI,V
1313,NI,WAT
1314,NSC,ROL
1315,NSC,TMO
1316,NSC,V
1317,NUE,TRGP
1318,NUE,WMB
1319,NVR,PXD
1320,NVR,PHM
1321,NVR,RSG
1322,NVR,STT
1323,NVR,TRGP
1324,NVR,WM
1325,NVR,WMB
1326,OXY,PPG
1327,OXY,PHM
1328,OXY,PWR
1329,OXY,TMO
1330,OMC,ZBH
1331,OKE,PAYC
1332,OKE,ROP
1333,ORCL,PG
1334,ORCL,PEG
1335,ORCL,SO
1336,ORCL,TPR
1337,ORCL,TMO
1338,OTIS,DGX
1339,OTIS,ROL
1340,OTIS,TPR
1341,PKG,SPG
1342,PH,PEG
1343,PH,RF
1344,PAYC,PFE
1345,PAYC,PM
1346,PAYC,PXD
1347,PAYC,RF
1348,PAYC,RMD
1349,PAYC,SRE
1350,PAYC,SHW
1351,PAYC,TRGP
1352,PAYC,TMO
1353,PAYC,V
1354,PAYC,WMT
1355,PAYC,WMB
1356,PNR,PKI
1357,PNR,PWR
1358,PNR,DGX
1359,PNR,ROL
1360,PNR,TMO
1361,PNR,USB
1362,PNR,UNH
1363,PKI,SRE
1364,PKI,NOW
1365,PFE,PHM
1366,PFE,TMO
1367,PFE,V
1368,PFE,WAT
1369,PM,PPG
1370,PM,SHW
1371,PM,TMO
1372,PM,V
1373,PM,WFC
1374,PNW,DGX
1375,PNW,SO
1376,PNW,TMO
1377,PNW,WAB
1378,PNW,WAT
1379,PXD,PPG
1380,PXD,PHM
1381,PXD,TMO
1382,PXD,TYL
1383,PNC,TEL
1384,PPG,DGX
